DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 07:51:32 2020, 19.8,54.19,1006.86,29.57,6.5,55.97, 
Tue Apr 21 07:53:13 2020, 19.84,53.94,1006.88,29.04,6.5,78.69, 
Tue Apr 21 07:54:55 2020, 19.86,53.91,1006.89,28.98,6.5,60.5, 
Tue Apr 21 07:56:36 2020, 19.88,53.78,1006.86,28.72,6.5,100.58, 
Tue Apr 21 07:58:18 2020, 19.89,53.64,1006.78,28.41,6.5,83.73, 
Tue Apr 21 07:59:59 2020, 19.91,53.65,1006.8,28.43,6.5,66.98, 
Tue Apr 21 08:01:41 2020, 19.9,53.45,1006.84,28.03,6.5,150.1, 
Tue Apr 21 08:03:22 2020, 19.9,53.32,1006.82,27.76,6.5,81.75, 
Tue Apr 21 08:05:04 2020, 19.93,53.18,1006.74,27.47,6.5,3.9, 
Tue Apr 21 08:06:45 2020, 19.97,53.19,1006.84,27.49,6.5,107.6, 
Tue Apr 21 08:08:27 2020, 19.99,53.1,1006.84,27.29,6.5,45.61, 
Tue Apr 21 08:10:08 2020, 19.98,53.07,1006.84,27.24,6.5,84.0, 
Tue Apr 21 08:11:50 2020, 19.9,52.83,1006.84,26.74,6.5,121.96, 
Tue Apr 21 08:13:32 2020, 19.87,53.37,1006.86,27.84,6.5,69.38, 
Tue Apr 21 08:15:13 2020, 19.94,53.65,1006.89,28.43,6.5,9.44, 
Tue Apr 21 08:16:54 2020, 20.02,53.85,1006.86,28.86,6.5,30.84, 
Tue Apr 21 08:18:36 2020, 20.03,53.75,1006.8,28.65,6.5,96.21, 
Tue Apr 21 08:20:17 2020, 19.98,53.43,1006.78,27.97,6.5,134.21, 
Tue Apr 21 08:21:58 2020, 19.92,53.08,1006.78,27.25,6.5,122.38, 
Tue Apr 21 08:23:40 2020, 19.89,52.89,1006.78,26.85,6.5,7.43, 
Tue Apr 21 08:25:21 2020, 19.87,52.63,1006.78,26.31,6.5,22.63, 
Tue Apr 21 08:27:02 2020, 19.92,52.87,1006.78,26.82,6.5,118.45, 
Tue Apr 21 08:28:44 2020, 19.99,53.16,1006.74,27.41,6.5,101.58, 
Tue Apr 21 08:30:25 2020, 20.04,53.05,1006.78,27.18,6.5,6.01, 
Tue Apr 21 08:32:06 2020, 20.05,52.74,1006.82,26.54,6.5,94.82, 
Tue Apr 21 08:33:48 2020, 19.99,52.38,1006.86,25.79,6.5,113.07, 
Tue Apr 21 08:35:29 2020, 19.93,50.17,1006.86,21.19,6.5,50.25, 
Tue Apr 21 08:37:11 2020, 19.85,48.1,1006.72,16.87,6.5,150.27, 
Tue Apr 21 08:38:52 2020, 19.83,50.94,1006.76,22.79,6.5,68.8, 
Tue Apr 21 08:40:34 2020, 19.88,50.26,1006.7,21.38,6.5,25.42, 
Tue Apr 21 08:42:15 2020, 19.96,50.58,1006.66,22.04,6.5,110.98, 
Tue Apr 21 08:43:55 2020, 19.98,50.56,1006.78,22.01,6.5,100.93, 
Tue Apr 21 08:45:36 2020, 20.02,50.5,1006.74,21.87,6.5,46.99, 
