DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 08:51:30 2020, 14.38,54.54,1006.47,30.29,6.5,87.57, 
Tue Apr 21 08:53:12 2020, 14.46,54.42,1006.51,30.03,6.5,115.23, 
Tue Apr 21 08:54:53 2020, 14.53,54.42,1006.58,30.04,6.5,47.18, 
Tue Apr 21 08:56:34 2020, 14.59,54.28,1006.52,29.74,6.5,61.06, 
Tue Apr 21 08:58:16 2020, 14.64,54.22,1006.56,29.64,6.5,140.26, 
Tue Apr 21 08:59:57 2020, 14.67,54.01,1006.52,29.18,6.5,139.0, 
Tue Apr 21 09:01:38 2020, 14.69,53.99,1006.52,29.15,6.5,82.56, 
Tue Apr 21 09:03:20 2020, 14.73,53.88,1006.54,28.92,6.5,33.65, 
Tue Apr 21 09:05:01 2020, 14.76,53.87,1006.49,28.9,6.5,134.57, 
Tue Apr 21 09:06:43 2020, 14.81,53.8,1006.52,28.76,6.5,17.04, 
Tue Apr 21 09:08:24 2020, 14.84,53.74,1006.54,28.62,6.5,54.09, 
Tue Apr 21 09:10:06 2020, 14.89,53.64,1006.58,28.42,6.5,27.01, 
Tue Apr 21 09:11:48 2020, 14.94,53.63,1006.56,28.39,6.5,43.61, 
Tue Apr 21 09:13:30 2020, 14.99,53.6,1006.56,28.34,6.5,70.36, 
Tue Apr 21 09:15:12 2020, 15.04,53.53,1006.56,28.19,6.5,73.58, 
Tue Apr 21 09:16:53 2020, 15.08,53.5,1006.62,28.13,6.5,19.06, 
Tue Apr 21 09:18:35 2020, 15.12,53.45,1006.62,28.02,6.5,99.04, 
Tue Apr 21 09:20:16 2020, 15.17,53.39,1006.6,27.89,6.5,142.07, 
Tue Apr 21 09:21:58 2020, 15.21,53.28,1006.6,27.68,6.5,52.82, 
Tue Apr 21 09:23:40 2020, 15.25,53.31,1006.56,27.72,6.5,105.2, 
Tue Apr 21 09:25:21 2020, 15.32,53.25,1006.56,27.6,6.5,7.48, 
Tue Apr 21 09:27:03 2020, 15.38,53.25,1006.54,27.61,6.5,86.93, 
Tue Apr 21 09:28:45 2020, 15.46,53.26,1006.54,27.64,6.5,49.77, 
Tue Apr 21 09:30:26 2020, 15.52,53.14,1006.52,27.37,6.5,79.52, 
Tue Apr 21 09:32:08 2020, 15.56,53.1,1006.52,27.3,6.5,29.36, 
Tue Apr 21 09:33:50 2020, 15.61,53.12,1006.51,27.33,6.5,105.97, 
Tue Apr 21 09:35:31 2020, 15.64,53.12,1006.52,27.33,6.5,53.8, 
Tue Apr 21 09:37:13 2020, 15.73,53.36,1006.49,27.83,6.5,16.24, 
