DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust 
Tue Apr 21 10:28:28 2020, 12.88,62.81,1007.4,47.51,6.5,7.78, 
Tue Apr 21 10:30:10 2020, 12.46,61.19,1007.36,44.15,6.5,147.84, 
Tue Apr 21 10:31:51 2020, 12.24,62.19,1007.42,46.23,6.5,0.62, 
Tue Apr 21 10:33:33 2020, 12.51,63.05,1007.34,48.02,6.5,22.72, 
Tue Apr 21 10:35:14 2020, 12.08,62.51,1007.32,46.89,6.5,114.0, 
Tue Apr 21 10:36:56 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 10:38:37 2020, 12.54,63.41,1007.32,48.77,6.5,3.0, 
Tue Apr 21 10:40:19 2020, 12.42,62.67,1007.29,47.23,6.5,4.23, 
Tue Apr 21 10:42:01 2020, 12.74,62.69,1007.32,47.27,6.5,4.21, 
Tue Apr 21 10:43:42 2020, 12.99,62.56,1007.34,47.0,6.5,132.1, 
Tue Apr 21 10:45:24 2020, 12.53,63.22,1007.34,48.38,6.5,148.31, 
Tue Apr 21 10:47:05 2020, 12.5,62.65,1007.42,47.19,6.5,130.29, 
Tue Apr 21 10:48:47 2020, 12.45,62.57,1007.44,47.02,6.5,137.55, 
Tue Apr 21 10:50:28 2020, 12.38,63.28,1007.54,48.5,6.5,150.16, 
Tue Apr 21 10:52:10 2020, 11.97,62.94,1007.25,47.79,6.5,116.49, 
Tue Apr 21 10:53:51 2020, 12.05,63.16,1007.52,48.24,6.5,78.55, 
Tue Apr 21 10:55:33 2020, 12.21,64.03,1007.7,50.07,6.5,101.89, 
Tue Apr 21 10:57:14 2020, 11.89,63.2,1007.4,48.34,6.5,148.71, 
Tue Apr 21 10:58:56 2020, 12.1,63.1,1007.44,48.13,6.5,12.81, 
Tue Apr 21 11:00:37 2020, 12.15,63.01,1007.34,47.94,6.5,149.04, 
Tue Apr 21 11:02:19 2020, 12.31,62.96,1007.29,47.84,6.5,22.97, 
Tue Apr 21 11:04:01 2020, 12.0,62.9,1007.4,47.72,6.5,52.23, 
Tue Apr 21 11:05:42 2020, 12.52,63.6,1007.42,49.17,6.5,59.51, 
Tue Apr 21 11:07:24 2020, 12.11,63.03,1007.36,47.98,6.5,11.72, 
Tue Apr 21 11:09:05 2020, 12.19,62.74,1007.27,47.39,6.5,135.33, 
Tue Apr 21 11:10:47 2020, 12.11,62.89,1007.32,47.69,6.5,16.45, 
Tue Apr 21 11:12:29 2020, 11.94,62.78,1007.29,47.46,6.5,62.55, 
Tue Apr 21 11:14:11 2020, 12.41,63.62,1007.44,49.21,6.5,138.51, 
Tue Apr 21 11:15:52 2020, 12.54,63.63,1007.34,49.23,6.5,8.12, 
Tue Apr 21 11:17:34 2020, 12.4,62.86,1007.32,47.62,6.5,83.66, 
Tue Apr 21 11:19:16 2020, 12.17,62.43,1007.4,46.73,6.5,55.16, 
Tue Apr 21 11:20:58 2020, 12.11,62.96,1007.44,47.84,6.5,89.27, 
